t,B0,B1,B2,B3,B4,B5
1,4,0,0,0,0,0
2,5,0,0,0,0,0
3,5,0,0,0,0,1
4,4,1,0,0,0,1
5,5,1,0,1,0,1
6,5,0,0,1,0,1
7,5,0,0,1,0,1
8,5,0,0,1,0,1
9,5,0,0,2,0,1
10,5,0,0,2,0,1
11,5,0,0,2,0,1
12,5,0,0,2,0,1
13,4,1,0,1,0,1
14,5,1,0,1,0,1
15,5,0,0,1,0,1
16,5,0,0,1,0,2
17,4,0,1,1,0,2
18,5,0,1,1,0,2
19,5,0,1,1,0,2
20,4,1,0,1,0,2
21,5,0,1,1,0,2
22,5,0,1,0,1,2
23,5,0,0,1,1,2
24,5,0,1,1,1,2
25,5,0,1,1,1,2
26,5,0,0,2,1,2
27,5,0,0,1,2,2
28,5,0,0,1,1,3
29,5,0,0,1,1,3
30,5,0,0,1,1,3
31,5,0,0,0,1,4
32,5,0,0,0,1,4
33,5,0,0,0,1,4
34,5,0,0,0,1,4
35,5,0,0,0,1,4
36,5,0,0,0,1,4
37,4,0,0,0,1,4
38,5,0,0,0,1,5
39,5,0,0,0,1,5
40,4,0,0,0,1,5
41,5,0,0,0,1,5
42,5,0,0,0,1,5
43,4,1,0,1,1,5
44,5,1,0,1,0,6
45,5,1,0,0,1,6
46,4,1,0,0,0,7
47,5,1,0,0,1,7
48,5,1,0,0,1,7
49,5,1,0,0,1,7
50,5,1,0,0,1,7
51,5,1,0,0,1,7
52,4,2,0,0,0,8
53,5,1,0,0,0,8
54,5,1,0,0,0,8
55,5,0,1,0,0,9
56,4,1,1,0,0,9
57,5,1,1,0,0,9
58,5,0,2,0,0,9
59,4,1,2,0,0,9
60,5,0,2,0,0,10
61,5,0,2,0,0,10
62,5,0,1,1,0,10
63,5,0,2,0,0,10
64,5,0,2,0,0,10
65,5,0,2,0,0,10
66,5,0,2,0,0,10
67,4,0,1,0,0,11
68,5,0,1,0,0,11
69,5,0,1,1,0,11
70,5,0,1,1,0,11
71,4,0,0,2,0,12
72,5,0,0,1,0,12
73,5,0,0,1,0,12
74,5,0,0,1,0,13
75,5,0,0,1,0,13
76,5,0,0,1,0,13
77,5,0,0,1,0,13
78,5,0,0,2,0,13
79,4,0,0,2,0,13
80,5,0,0,1,0,14
81,5,0,0,1,0,14
82,5,0,0,1,0,14
83,4,0,0,1,0,14
84,5,0,0,1,1,14
85,5,0,0,1,0,15
86,4,1,0,1,0,15
87,5,1,0,1,0,15
88,4,1,0,1,0,16
89,5,1,0,0,0,16
90,4,2,0,1,0,16
91,5,2,0,1,0,17
92,5,2,0,0,0,17
93,5,2,0,0,0,17
94,5,2,0,0,0,17
95,4,2,0,0,0,18
96,5,2,0,0,0,18
97,4,3,0,0,0,19
98,5,2,1,0,0,19
99,5,2,1,0,0,19
100,5,2,1,0,0,19
101,5,2,0,0,0,19
102,5,2,0,0,0,19
103,4,3,0,0,0,19
104,5,3,0,0,0,19
105,5,3,0,0,0,19
106,5,2,1,0,0,19
107,4,3,0,0,0,19
108,5,3,0,0,0,20
109,5,3,0,0,0,20
110,4,3,1,0,0,20
111,5,3,1,0,0,20
112,4,4,1,0,0,20
113,5,4,1,0,0,20
114,5,4,1,0,0,20
115,5,4,1,0,0,21
116,5,4,0,0,0,21
117,4,5,0,0,0,21
118,5,4,1,0,0,21
119,5,4,1,0,0,21
120,5,4,1,0,0,21
121,5,4,1,0,0,21
122,5,3,1,0,0,21
123,4,4,1,0,0,21
124,5,4,1,0,0,21
125,4,5,1,0,0,22
126,5,4,1,0,0,22
127,5,4,1,0,0,22
128,5,4,1,0,0,22
129,4,5,0,0,0,23
130,5,5,0,0,0,23
131,5,4,0,1,0,24
132,4,5,0,1,0,24
133,5,5,0,1,0,24
134,4,5,0,2,0,24
135,5,5,0,2,0,24
136,5,5,0,1,0,24
137,5,4,0,2,0,24
138,4,5,0,2,0,24
139,5,5,0,3,0,25
140,5,5,0,2,0,25
141,5,5,0,2,0,25
142,5,5,0,1,0,26
143,5,5,0,1,0,26
144,4,5,0,1,0,26
145,5,5,0,1,0,27
146,5,5,0,0,0,27
147,5,4,1,0,0,27
148,5,4,0,1,0,27
149,5,3,1,0,1,27
150,5,3,1,0,1,27
151,4,4,1,0,1,27
152,5,4,1,0,2,27
153,5,4,0,0,2,27
154,4,5,0,0,1,28
155,5,5,0,1,1,28
156,5,5,0,1,1,28
157,5,5,0,1,0,29
158,4,5,0,1,0,29
159,5,5,0,1,0,30
