t,num_station,num_job,event_type
0,0,1,job start
0,1,1,job start
0,2,1,job start
0,3,1,job start
0,4,1,job start
2.414,0,1,job finish
2.414,0,2,job start
3.041,3,1,job finish
3.295,2,1,job finish
3.295,3,2,job start
6.815,0,2,job finish
6.815,0,3,job start
6.886,4,1,job finish
6.886,4,2,job start
8.009,3,2,job finish
8.998,0,3,job finish
8.998,0,4,job start
9.081,4,2,job finish
9.081,4,3,job start
12.8,1,1,job finish
12.8,2,2,job start
12.8,1,2,job start
13.04,4,3,job finish
14.27,0,4,job finish
14.27,0,5,job start
14.926,2,2,job finish
14.926,3,3,job start
17.272,0,5,job finish
17.272,0,6,job start
17.33,1,2,job finish
17.33,2,3,job start
17.33,1,3,job start
18.631,3,3,job finish
18.631,4,4,job start
20.228,0,6,job finish
20.228,0,7,job start
20.952,4,4,job finish
24.568,0,7,job finish
24.568,0,8,job start
25.544,1,3,job finish
25.544,1,4,job start
25.762,2,3,job finish
25.762,3,4,job start
25.762,2,4,job start
27.787,2,4,job finish
29.302,0,8,job finish
29.302,0,9,job start
30.56,1,4,job finish
30.56,2,5,job start
30.56,1,5,job start
31.504,0,9,job finish
31.504,0,10,job start
31.62,3,4,job finish
31.62,4,5,job start
31.62,3,5,job start
33.108,2,5,job finish
33.689,0,10,job finish
34.153,1,5,job finish
34.153,2,6,job start
34.153,1,6,job start
34.153,0,11,job start
34.217,4,5,job finish
36.447,0,11,job finish
37.092,2,6,job finish
37.236,3,5,job finish
37.236,4,6,job start
37.236,3,6,job start
38.512,1,6,job finish
38.512,2,7,job start
38.512,1,7,job start
38.512,0,12,job start
39.583,3,6,job finish
39.583,3,7,job start
41.766,0,12,job finish
44.034,4,6,job finish
44.034,4,7,job start
45.277,3,7,job finish
46.991,4,7,job finish
46.991,4,8,job start
47.145,1,7,job finish
47.145,1,8,job start
47.145,0,13,job start
48.667,2,7,job finish
48.667,3,8,job start
48.667,2,8,job start
50.491,0,13,job finish
52.141,2,8,job finish
52.245,3,8,job finish
52.245,3,9,job start
53.145,1,8,job finish
53.145,2,9,job start
53.145,1,9,job start
53.145,0,14,job start
54.977,3,9,job finish
55.496,1,9,job finish
55.496,1,10,job start
55.664,0,14,job finish
55.664,0,15,job start
55.751,2,9,job finish
55.751,3,10,job start
55.751,2,10,job start
58.88,4,8,job finish
58.88,4,9,job start
59.574,0,15,job finish
59.773,3,10,job finish
61.799,1,10,job finish
61.799,1,11,job start
61.799,0,16,job start
62.209,4,9,job finish
62.209,4,10,job start
62.361,2,10,job finish
62.361,3,11,job start
62.361,2,11,job start
64.016,0,16,job finish
65.17,3,11,job finish
65.253,1,11,job finish
65.253,1,12,job start
65.253,0,17,job start
65.613,4,10,job finish
65.613,4,11,job start
67.799,1,12,job finish
67.799,1,13,job start
68.699,4,11,job finish
68.699,4,12,job start
69.469,0,17,job finish
69.469,0,18,job start
71.156,2,11,job finish
71.156,3,12,job start
71.156,2,12,job start
72.507,1,13,job finish
72.507,1,14,job start
73.297,4,12,job finish
73.702,3,12,job finish
73.702,4,13,job start
74.046,2,12,job finish
74.046,3,13,job start
74.046,2,13,job start
74.838,0,18,job finish
74.838,0,19,job start
75.421,1,14,job finish
75.421,1,15,job start
77.508,4,13,job finish
77.991,1,15,job finish
77.991,1,16,job start
79.157,0,19,job finish
79.157,0,20,job start
79.407,2,13,job finish
79.407,2,14,job start
79.71,3,13,job finish
79.71,4,14,job start
79.71,3,14,job start
81.588,2,14,job finish
81.588,2,15,job start
82.683,3,14,job finish
82.683,3,15,job start
83.278,4,14,job finish
83.278,4,15,job start
83.713,1,16,job finish
83.713,1,17,job start
83.904,2,15,job finish
83.904,2,16,job start
85.081,0,20,job finish
85.081,0,21,job start
85.531,4,15,job finish
86.248,3,15,job finish
86.248,4,16,job start
86.248,3,16,job start
86.589,1,17,job finish
86.589,1,18,job start
87.651,2,16,job finish
87.651,2,17,job start
87.863,0,21,job finish
87.863,0,22,job start
88.515,3,16,job finish
88.515,3,17,job start
89.441,1,18,job finish
89.441,1,19,job start
91.232,4,16,job finish
91.232,4,17,job start
91.545,0,22,job finish
91.545,0,23,job start
